Dataset,Model,RÂ²,Correlation,RMSE,Parameters
M1,Wiener Filter,0.7890253620992885,0.8888514869658968,2.702093202695683,default
M1,Wiener Cascade,0.8007988145890209,0.8953131262024769,2.624621053109201,degree=5
M1,Kalman Filter,0.7868180806211111,0.8876408270258045,2.716326099308218,noise_scale_c=1.0
M1,Dense NN,0.8890361622239726,0.9438691167721438,1.9602025876298148,"units=199, dropout_rate=0.05, num_epochs=39"
M1,LSTM,0.9068246574755896,0.9526427796791128,1.7961639063750718,"units=256, dropout_rate=0.32196748672472125, num_epochs=40"
HC,Wiener Filter,0.4023681120744556,0.6344382707522083,38.156985232851156,default
HC,Wiener Cascade,0.4259687917321159,0.652163564501527,37.38817358773663,degree=4
HC,Kalman Filter,0.2605594189945057,0.5354729949225405,42.30806293896386,noise_scale_c=1.0
HC,Dense NN,0.638151914881097,0.8078577398909305,29.57432440975047,"units=199, dropout_rate=0.05, num_epochs=39"
HC,LSTM,0.21907719085209548,0.5622893479049168,43.398012295199,"units=239, dropout_rate=0.05, num_epochs=40"
